transaction_id,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
TXN011,10,PAYMENT,155.00,4500.00,4345.00,0.00,0.00
TXN012,12,CASH_IN,25000.00,1000.00,26000.00,0.00,0.00
TXN013,15,TRANSFER,985000.00,985000.00,0.00,0.00,0.00
TXN014,18,CASH_OUT,1200.00,5000.00,3800.00,0.00,1200.00
TXN015,24,DEBIT,500.00,1500.00,1000.00,2000.00,2500.00
TXN016,30,PAYMENT,12000.00,12000.00,0.00,0.00,0.00
TXN017,45,TRANSFER,450.00,20000.00,19550.00,50000.00,50450.00
TXN018,50,CASH_OUT,2500000.00,2500000.00,0.00,1500.00,2501500.00
TXN019,65,PAYMENT,12.50,100.00,87.50,0.00,0.00
TXN020,72,TRANSFER,60000.00,60000.00,0.00,10000.00,10000.00
TXN021,80,CASH_IN,5000.00,200.00,5200.00,0.00,0.00
TXN022,95,CASH_OUT,180000.00,200000.00,20000.00,5000.00,185000.00
TXN023,100,TRANSFER,1200000.00,1200000.00,0.00,0.00,0.00
TXN024,115,DEBIT,850.00,10000.00,9150.00,4000.00,4850.00
TXN025,130,PAYMENT,3000.00,5000.00,2000.00,0.00,0.00
