transaction_id,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
TXN100000,103,CASH_OUT,1167.05,24791.5,23624.45,87754.93,88921.98
TXN100001,436,CASH_OUT,34901.42,95907.69,61006.27,99661.67,134563.09
TXN100002,271,PAYMENT,69856.47,101468.46,31611.99,88132.77,157989.24
TXN100003,107,TRANSFER,19455.28,46894.0,27438.72,12449.75,31905.03
TXN100004,72,DEBIT,4077.98,16453.1,12375.12,191128.41,195206.39
TXN100005,701,PAYMENT,31965.99,155456.36,123490.37,179187.73,211153.72
TXN100006,21,TRANSFER,3156.71,24845.99,21689.28,196015.05,199171.76
TXN100007,615,PAYMENT,92015.74,119061.0,27045.26,57692.97,149708.71
TXN100008,122,PAYMENT,97794.3,187321.61,89527.31,88696.36,186490.66
TXN100009,467,TRANSFER,13669.02,175282.99,161613.97,185884.78,199553.8
TXN100010,215,TRANSFER,19596.84,55911.65,36314.81,179888.27,199485.11
TXN100011,331,PAYMENT,57460.87,170364.0,112903.13,151899.09,209359.96
TXN100012,459,TRANSFER,97.27,566.33,469.06,105123.98,105221.25
TXN100013,88,PAYMENT,1601.83,4028.72,2426.89,273879.3,275481.13
TXN100014,373,PAYMENT,36884.97,120709.36,83824.39,101931.07,138816.04
TXN100015,100,PAYMENT,23024.1,73277.24,50253.14,136685.75,159709.85
TXN100016,664,PAYMENT,51815.42,77598.94,25783.52,203434.15,255249.57
TXN100017,131,PAYMENT,23605.72,113106.0,89500.28,162906.43,186512.15
TXN100018,662,TRANSFER,22529.81,38760.6,16230.79,104065.79,126595.6
TXN100019,309,CASH_OUT,22136.8,42745.19,20608.39,130693.44,152830.24
TXN100020,344,PAYMENT,50105.21,97178.02,47072.81,238344.25,288449.46
TXN100021,492,CASH_OUT,90595.7,150973.58,60377.88,83438.75,174034.45
TXN100022,414,CASH_OUT,61804.17,124089.8,62285.63,42676.57,104480.74
TXN100023,386,PAYMENT,47411.41,59822.33,12410.92,93948.96,141360.37
TXN100024,192,DEBIT,52784.23,86352.27,33568.04,254860.26,307644.49
TXN100025,277,DEBIT,17163.16,34547.62,17384.46,26696.91,43860.07
TXN100026,161,PAYMENT,11518.24,15388.65,3870.41,297508.82,309027.06
TXN100027,460,PAYMENT,86073.37,156647.86,70574.49,162300.87,248374.24
TXN100028,314,DEBIT,14382.98,53444.79,39061.81,295453.72,309836.7
TXN100029,22,CASH_OUT,6988.4,35964.39,28975.99,281698.93,288687.33
TXN100030,253,PAYMENT,20158.45,138477.8,118319.35,135844.11,156002.56
TXN100031,561,CASH_OUT,100342.84,123801.31,23458.47,59547.32,159890.16
TXN100032,475,CASH_OUT,81421.9,126821.33,45399.43,49465.43,130887.33
TXN100033,59,CASH_OUT,38975.13,46164.47,7189.34,71996.81,110971.94
TXN100034,511,CASH_OUT,25657.99,46912.78,21254.79,213039.79,238697.78
TXN100035,682,CASH_OUT,19215.66,44550.12,25334.46,81885.0,101100.66
TXN100036,476,PAYMENT,2220.5,35163.64,32943.14,102427.58,104648.08
TXN100037,700,PAYMENT,79809.36,131316.87,51507.51,134633.64,214443.0
TXN100038,190,TRANSFER,89618.73,169679.17,80060.44,273969.8,363588.53
